alpha	total_observations	power	effect_size	difference	metric	column
0.01	20	0.010118342933487234	0.0216403311904278		cohens_f	vegetable_frequency
0.05	20	0.05043523880405987	0.0216403311904278		cohens_f	vegetable_frequency
0.1	20	0.1007109246992679	0.0216403311904278		cohens_f	vegetable_frequency
0.01	60	0.010448794790858806	0.0216403311904278		cohens_f	vegetable_frequency
0.05	60	0.051537481489102865	0.0216403311904278		cohens_f	vegetable_frequency
0.1	60	0.10243141042340531	0.0216403311904278		cohens_f	vegetable_frequency
0.01	100	0.010782989838272972	0.0216403311904278		cohens_f	vegetable_frequency
0.05	100	0.0526423094702505	0.0216403311904278		cohens_f	vegetable_frequency
0.1	100	0.10414973774061687	0.0216403311904278		cohens_f	vegetable_frequency
0.01	140	0.011121508377625489	0.0216403311904278		cohens_f	vegetable_frequency
0.05	140	0.053752648939405456	0.0216403311904278		cohens_f	vegetable_frequency
0.1	140	0.10587129002393336	0.0216403311904278		cohens_f	vegetable_frequency
0.01	180	0.011463973359171042	0.0216403311904278		cohens_f	vegetable_frequency
0.05	180	0.0548685098786863	0.0216403311904278		cohens_f	vegetable_frequency
0.1	180	0.10759639989586356	0.0216403311904278		cohens_f	vegetable_frequency
0.01	220	0.011810396046566973	0.0216403311904278		cohens_f	vegetable_frequency
0.05	220	0.05598993537055508	0.0216403311904278		cohens_f	vegetable_frequency
0.1	220	0.10932515793284125	0.0216403311904278		cohens_f	vegetable_frequency
0.01	260	0.012160796962973675	0.0216403311904278		cohens_f	vegetable_frequency
0.05	260	0.057116925937080176	0.0216403311904278		cohens_f	vegetable_frequency
0.1	260	0.11105756746077378	0.0216403311904278		cohens_f	vegetable_frequency
0.01	300	0.012515201812540844	0.0216403311904278		cohens_f	vegetable_frequency
0.05	300	0.0582494689371027	0.0216403311904278		cohens_f	vegetable_frequency
0.1	300	0.11279360366693181	0.0216403311904278		cohens_f	vegetable_frequency
0.01	340	0.012873640253177498	0.0216403311904278		cohens_f	vegetable_frequency
0.05	340	0.0593875471792733	0.0216403311904278		cohens_f	vegetable_frequency
0.1	340	0.11453323082325684	0.0216403311904278		cohens_f	vegetable_frequency
0.01	380	0.013236145369041497	0.0216403311904278		cohens_f	vegetable_frequency
0.05	380	0.06053114205491905	0.0216403311904278		cohens_f	vegetable_frequency
0.1	380	0.11627640857585098	0.0216403311904278		cohens_f	vegetable_frequency
0.01	420	0.013600655514106719	0.0216403311904278		cohens_f	vegetable_frequency
0.05	420	0.06168023484314644	0.0216403311904278		cohens_f	vegetable_frequency
0.1	420	0.1180230946096289	0.0216403311904278		cohens_f	vegetable_frequency
0.01	460	0.013970516693047719	0.0216403311904278		cohens_f	vegetable_frequency
0.05	460	0.0628348073012901	0.0216403311904278		cohens_f	vegetable_frequency
0.1	460	0.1197732459005788	0.0216403311904278		cohens_f	vegetable_frequency
0.01	500	0.014344311460373294	0.0216403311904278		cohens_f	vegetable_frequency
0.05	500	0.06399292172495308	0.0216403311904278		cohens_f	vegetable_frequency
0.1	500	0.12152681934875775	0.0216403311904278		cohens_f	vegetable_frequency
0.01	540	0.014722043692610098	0.0216403311904278		cohens_f	vegetable_frequency
0.05	540	0.0651577379648427	0.0216403311904278		cohens_f	vegetable_frequency
0.1	540	0.12328377211441455	0.0216403311904278		cohens_f	vegetable_frequency
0.01	580	0.015103717409551853	0.0216403311904278		cohens_f	vegetable_frequency
0.05	580	0.06632782951613969	0.0216403311904278		cohens_f	vegetable_frequency
0.1	580	0.12504224281420984	0.0216403311904278		cohens_f	vegetable_frequency
0.01	620	0.015489336781694618	0.0216403311904278		cohens_f	vegetable_frequency
0.05	620	0.06750316085021513	0.0216403311904278		cohens_f	vegetable_frequency
0.1	620	0.1268052967832608	0.0216403311904278		cohens_f	vegetable_frequency
0.01	660	0.01587890613934928	0.0216403311904278		cohens_f	vegetable_frequency
0.05	660	0.06868369643994532	0.0216403311904278		cohens_f	vegetable_frequency
0.1	660	0.1285714994100463	0.0216403311904278		cohens_f	vegetable_frequency
0.01	700	0.016272429982278402	0.0216403311904278		cohens_f	vegetable_frequency
0.05	700	0.069869400793792	0.0216403311904278		cohens_f	vegetable_frequency
0.1	700	0.1303407980232295	0.0216403311904278		cohens_f	vegetable_frequency
0.01	740	0.016669912989404123	0.0216403311904278		cohens_f	vegetable_frequency
0.05	740	0.07106023848048904	0.0216403311904278		cohens_f	vegetable_frequency
0.1	740	0.13211314015218212	0.0216403311904278		cohens_f	vegetable_frequency
